,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,hour
29,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,1
30,1,0,0,2,16.4,20.455,76,12.998,0,1,1,1
31,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,1
32,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,1
33,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,1
34,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,1
35,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,1
36,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,2
37,1,0,0,3,14.76,17.425,76,12.998,4,55,59,2
38,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,2
39,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,2
40,1,0,0,1,13.94,16.665,57,12.998,7,58,65,2
41,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,2
42,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,3
43,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,3
44,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,3
45,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,3
46,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,3
47,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,0
48,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,0
49,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,0
50,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,0
51,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,1
52,1,0,1,1,5.74,6.82,50,12.998,1,63,64,1
53,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,1
54,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,1
55,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,1
56,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,1
57,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,1
58,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,2
59,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,2
60,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,2
61,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,2
62,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,2
63,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,2
64,1,0,1,1,8.2,12.88,47,0.0,8,102,110,3
65,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,3
66,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,3
67,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,3
68,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,3
69,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,0
70,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,0
71,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,0
72,1,0,1,1,5.74,9.09,63,6.0032,0,2,2,0
73,1,0,1,1,4.92,7.575,68,7.0015,0,4,4,0
74,1,0,1,1,4.92,7.575,74,7.0015,0,36,36,1
75,1,0,1,1,4.92,7.575,74,8.9981,2,92,94,1
76,1,0,1,1,5.74,7.575,69,11.0014,2,177,179,1
77,1,0,1,1,6.56,7.575,64,15.0013,2,98,100,1
78,1,0,1,2,6.56,6.82,69,22.0028,5,37,42,1
79,1,0,1,1,9.02,10.605,51,19.9995,7,50,57,1
80,1,0,1,1,9.02,11.365,51,11.0014,12,66,78,1
81,1,0,1,1,9.84,11.365,56,12.998,18,79,97,2
82,1,0,1,1,10.66,12.88,52,15.0013,9,54,63,2
83,1,0,1,1,11.48,13.635,52,16.9979,17,48,65,2
84,1,0,1,1,12.3,14.395,49,16.9979,15,68,83,2
85,1,0,1,1,11.48,13.635,48,15.0013,10,202,212,2
86,1,0,1,1,10.66,12.88,48,12.998,3,179,182,2
87,1,0,1,1,9.84,12.88,48,7.0015,2,110,112,3
88,1,0,1,1,9.84,12.88,48,7.0015,1,53,54,3
89,1,0,1,1,9.02,13.635,64,0.0,0,48,48,3
90,1,0,1,1,9.02,12.88,64,6.0032,1,34,35,3
91,1,0,1,1,8.2,11.365,69,6.0032,2,9,11,3
92,1,0,1,1,8.2,12.88,64,0.0,0,6,6,0
93,1,0,1,1,6.56,9.85,74,6.0032,0,6,6,0
94,1,0,1,1,6.56,9.85,74,6.0032,0,2,2,0
95,1,0,1,1,9.84,11.365,48,15.0013,0,2,2,0
96,1,0,1,1,9.02,11.365,47,11.0014,0,3,3,0
97,1,0,1,1,8.2,9.85,47,15.0013,0,33,33,1
98,1,0,1,1,7.38,9.09,43,12.998,1,87,88,1
99,1,0,1,1,8.2,9.09,40,19.9995,3,192,195,1
100,1,0,1,1,9.02,9.85,37,22.0028,6,109,115,1
101,1,0,1,1,9.02,9.85,37,22.0028,4,53,57,1
102,1,0,1,1,10.66,11.365,33,22.0028,12,34,46,1
103,1,0,1,1,10.66,11.365,33,22.0028,5,74,79,1
104,1,0,1,1,11.48,12.88,30,19.9995,6,65,71,2
105,1,0,1,1,12.3,14.395,28,12.998,10,52,62,2
106,1,0,1,1,12.3,14.395,28,12.998,7,55,62,2
107,1,0,1,1,12.3,15.91,28,6.0032,4,85,89,2
108,1,0,1,1,9.84,11.365,38,12.998,4,186,190,2
109,1,0,1,1,9.84,12.12,38,8.9981,3,166,169,2
110,1,0,1,1,9.84,12.88,38,7.0015,5,127,132,3
111,1,0,1,1,9.02,11.365,47,11.0014,7,82,89,3
112,1,0,1,1,8.2,9.85,51,12.998,3,40,43,3
113,1,0,1,1,7.38,9.85,55,8.9981,1,41,42,3
114,1,0,1,1,8.2,12.88,47,0.0,1,18,19,3
115,1,0,1,1,7.38,12.12,55,0.0,0,11,11,0
116,1,0,1,1,6.56,11.365,64,0.0,0,4,4,0
117,1,0,1,1,6.56,11.365,64,0.0,0,2,2,0
118,1,0,1,2,6.56,9.85,64,6.0032,0,1,1,0
119,1,0,1,2,5.74,9.09,69,6.0032,0,4,4,0
120,1,0,1,2,5.74,8.335,63,7.0015,0,36,36,1
121,1,0,1,2,6.56,11.365,59,0.0,0,95,95,1
122,1,0,1,1,6.56,11.365,59,0.0,3,216,219,1
123,1,0,1,2,7.38,12.12,51,0.0,6,116,122,1
124,1,0,1,1,8.2,12.88,47,0.0,3,42,45,1
125,1,0,1,1,9.02,12.88,44,6.0032,2,57,59,1
126,1,0,1,1,10.66,14.395,35,0.0,6,78,84,1
127,1,0,1,1,10.66,13.635,35,7.0015,12,55,67,2
128,1,0,1,1,11.48,13.635,36,11.0014,11,59,70,2
129,1,0,1,1,11.48,13.635,36,0.0,8,54,62,2
130,1,0,1,1,10.66,12.88,38,11.0014,12,74,86,2
131,1,0,1,1,9.02,11.365,51,11.0014,9,163,172,2
132,1,0,1,1,9.02,11.365,51,8.9981,5,158,163,2
133,1,0,1,1,9.02,12.88,55,6.0032,3,109,112,3
134,1,0,1,1,8.2,10.605,51,11.0014,3,66,69,3
135,1,0,1,2,9.02,10.605,55,15.0013,0,48,48,3
136,1,0,1,2,9.02,10.605,51,19.0012,1,51,52,3
137,1,0,1,2,8.2,9.85,59,12.998,4,19,23,3
138,1,0,1,2,8.2,9.85,64,12.998,4,13,17,0
139,1,0,1,2,8.2,9.85,69,15.0013,2,5,7,0
140,1,0,1,2,8.2,9.85,69,15.0013,0,1,1,0
141,1,0,1,2,8.2,10.605,69,8.9981,0,1,1,0
142,1,0,1,3,9.02,13.635,55,0.0,0,5,5,0
143,1,0,1,2,8.2,12.88,69,0.0,8,26,34,1
144,1,0,1,1,8.2,10.605,69,8.9981,8,76,84,1
145,1,0,1,1,8.2,9.85,51,16.9979,20,190,210,1
146,1,0,1,1,8.2,9.09,47,19.9995,9,125,134,1
147,1,0,1,1,9.02,9.85,37,22.0028,16,47,63,1
148,1,0,1,2,8.2,9.85,40,15.0013,19,48,67,1
149,1,0,1,2,8.2,9.85,37,16.9979,9,50,59,1
150,1,0,1,2,8.2,9.09,37,19.0012,9,64,73,2
151,1,0,1,2,8.2,9.85,40,16.9979,7,43,50,2
152,1,0,1,2,8.2,10.605,37,11.0014,9,63,72,2
153,1,0,1,2,8.2,10.605,37,11.0014,5,82,87,2
154,1,0,1,2,8.2,12.88,37,0.0,9,178,187,2
155,1,0,1,1,8.2,11.365,40,6.0032,7,116,123,2
156,1,0,1,1,6.56,9.85,55,6.0032,3,92,95,3
157,1,0,1,1,7.38,10.605,47,7.0015,1,50,51,3
158,1,0,1,1,7.38,9.85,47,8.9981,0,39,39,3
159,1,0,1,2,7.38,9.85,43,11.0014,2,34,36,3
160,1,0,1,2,7.38,9.85,51,11.0014,1,14,15,3
161,1,0,0,2,7.38,9.85,51,11.0014,1,24,25,0
162,1,0,0,2,7.38,10.605,55,6.0032,1,15,16,0
163,1,0,0,2,7.38,12.12,55,0.0,3,13,16,0
164,1,0,0,3,7.38,9.85,55,11.0014,0,7,7,0
165,1,0,0,3,7.38,9.85,55,11.0014,0,1,1,0
166,1,0,0,2,6.56,8.335,74,11.0014,0,5,5,0
167,1,0,0,2,6.56,8.335,74,11.0014,0,2,2,1
168,1,0,0,2,6.56,9.09,74,7.0015,1,8,9,1
169,1,0,0,3,6.56,9.09,93,7.0015,0,15,15,1
170,1,0,0,3,6.56,9.09,93,7.0015,0,20,20,1
171,1,0,0,2,7.38,9.85,80,11.0014,5,56,61,1
172,1,0,0,2,8.2,9.09,69,26.0027,2,60,62,1
173,1,0,0,2,8.2,9.09,59,23.9994,8,90,98,1
174,1,0,0,1,8.2,9.09,44,22.0028,7,95,102,2
175,1,0,0,1,8.2,8.335,32,32.9975,12,83,95,2
176,1,0,0,1,8.2,8.335,32,30.0026,5,69,74,2
177,1,0,0,1,7.38,6.82,29,30.0026,8,68,76,2
178,1,0,0,1,6.56,6.06,37,36.9974,5,64,69,2
179,1,0,0,1,5.74,6.06,39,19.9995,3,52,55,2
180,1,0,0,1,5.74,6.06,36,16.9979,4,26,30,3
181,1,0,0,1,4.92,6.06,36,16.9979,0,28,28,3
182,1,0,0,1,4.92,5.305,39,23.9994,2,35,37,3
183,1,0,0,1,4.92,5.305,36,26.0027,1,33,34,3
184,1,0,0,1,4.1,3.03,39,30.0026,0,22,22,3
185,1,0,0,1,4.1,3.79,42,26.0027,1,24,25,0
186,1,0,0,1,4.1,3.03,42,31.0009,0,12,12,0
187,1,0,0,1,4.1,3.03,46,31.0009,0,11,11,0
188,1,0,0,1,4.1,3.79,46,27.9993,0,4,4,0
189,1,0,0,1,3.28,4.545,53,12.998,0,1,1,0
190,1,0,0,1,3.28,4.545,53,12.998,0,1,1,0
191,1,0,0,1,4.1,4.545,49,19.0012,0,1,1,1
192,1,0,0,1,3.28,4.545,53,12.998,1,5,6,1
193,1,0,0,1,4.1,4.545,49,19.0012,0,10,10,1
194,1,0,0,1,4.92,3.79,46,35.0008,0,19,19,1
195,1,0,0,1,5.74,5.305,43,26.0027,0,49,49,1
196,1,0,0,1,6.56,6.06,40,35.0008,2,47,49,1
197,1,0,0,1,7.38,6.82,37,30.0026,4,79,83,1
198,1,0,0,1,8.2,8.335,34,30.0026,6,69,75,2
199,1,0,0,1,9.02,9.09,32,31.0009,8,64,72,2
200,1,0,0,1,9.02,9.85,35,23.9994,5,77,82,2
201,1,0,0,1,8.2,8.335,34,30.0026,13,79,92,2
202,1,0,0,1,7.38,7.575,37,26.0027,3,59,62,2
203,1,0,0,1,6.56,6.82,40,22.0028,4,44,48,2
204,1,0,0,1,6.56,6.82,43,22.0028,1,40,41,3
205,1,0,0,1,5.74,6.06,46,16.9979,0,38,38,3
206,1,0,0,1,5.74,5.305,46,27.9993,1,19,20,3
207,1,0,0,1,5.74,6.06,46,19.9995,5,10,15,3
208,1,0,0,1,4.92,6.82,50,12.998,0,6,6,3
209,1,0,1,1,4.92,6.06,50,19.0012,2,3,5,0
210,1,0,1,1,4.92,6.06,50,19.0012,1,0,1,0
211,1,0,1,1,4.92,6.06,50,15.0013,0,3,3,0
212,1,0,1,1,4.92,6.06,50,15.0013,0,1,1,0
213,1,0,1,1,4.1,6.06,54,8.9981,1,2,3,0
214,1,0,1,1,4.1,5.305,54,16.9979,0,3,3,0
215,1,0,1,1,4.92,6.06,50,19.0012,0,31,31,1
216,1,0,1,1,4.92,6.06,50,15.0013,2,75,77,1
217,1,0,1,2,4.92,6.06,50,19.0012,4,184,188,1
218,1,0,1,2,5.74,6.06,50,16.9979,2,92,94,1
219,1,0,1,2,5.74,6.06,50,19.9995,0,31,31,1
220,1,0,1,2,6.56,6.82,47,19.0012,2,28,30,1
221,1,0,1,2,8.2,9.09,40,19.0012,5,47,52,1
222,1,0,1,2,8.2,9.09,40,19.0012,4,50,54,2
223,1,0,1,2,8.2,9.85,40,15.0013,0,47,47,2
224,1,0,1,2,8.2,9.85,40,15.0013,2,43,45,2
225,1,0,1,1,8.2,10.605,40,8.9981,4,70,74,2
226,1,0,1,1,8.2,11.365,40,7.0015,4,174,178,2
227,1,0,1,1,8.2,9.85,40,15.0013,1,154,155,2
228,1,0,1,1,6.56,8.335,47,11.0014,3,92,95,3
229,1,0,1,1,6.56,8.335,50,11.0014,1,73,74,3
230,1,0,1,1,5.74,6.82,59,12.998,1,37,38,3
231,1,0,1,1,5.74,7.575,59,11.0014,2,22,24,3
232,1,0,1,1,5.74,7.575,59,11.0014,0,18,18,3
233,1,0,1,1,5.74,8.335,59,7.0015,2,10,12,0
234,1,0,1,1,5.74,7.575,59,11.0014,0,3,3,0
235,1,0,1,2,6.56,7.575,55,12.998,0,3,3,0
236,1,0,1,2,6.56,9.09,55,8.9981,0,6,6,0
237,1,0,1,2,6.56,9.09,55,8.9981,0,27,27,1
238,1,0,1,2,6.56,11.365,55,0.0,2,97,99,1
239,1,0,1,2,7.38,10.605,51,6.0032,3,214,217,1
240,1,0,1,2,7.38,9.85,51,11.0014,3,127,130,1
241,1,0,1,2,8.2,10.605,51,11.0014,3,51,54,1
242,1,0,1,2,8.2,10.605,47,8.9981,4,31,35,1
243,1,0,1,2,8.2,11.365,51,7.0015,2,55,57,1
244,1,0,1,2,8.2,11.365,59,6.0032,6,46,52,2
245,1,0,1,2,8.2,11.365,59,6.0032,3,60,63,2
246,1,0,1,2,6.56,9.85,80,6.0032,2,45,47,2
247,1,0,1,2,6.56,7.575,86,15.0013,4,72,76,2
248,1,0,1,2,6.56,7.575,86,15.0013,6,130,136,2
249,1,0,1,3,6.56,9.09,93,7.0015,1,94,95,2
250,1,0,1,3,6.56,11.365,93,0.0,0,51,51,3
251,1,0,1,3,6.56,7.575,93,12.998,0,32,32,3
252,1,0,1,3,6.56,9.85,86,6.0032,0,20,20,3
253,1,0,1,3,6.56,9.09,93,7.0015,1,28,29,3
254,1,0,1,3,6.56,9.85,93,6.0032,1,18,19,3
255,1,0,1,2,6.56,9.85,86,6.0032,0,7,7,0
256,1,0,1,2,6.56,9.09,86,7.0015,0,6,6,0
257,1,0,1,1,5.74,7.575,86,8.9981,0,1,1,0
258,1,0,1,1,5.74,7.575,86,11.0014,0,5,5,0
259,1,0,1,1,4.92,7.575,93,8.9981,0,16,16,1
260,1,0,1,1,5.74,7.575,69,8.9981,0,54,54,1
261,1,0,1,1,6.56,8.335,59,11.0014,3,125,128,1
262,1,0,1,1,6.56,6.82,59,22.0028,3,78,81,1
263,1,0,1,1,7.38,9.09,55,15.0013,0,39,39,1
264,1,0,1,1,8.2,9.09,51,26.0027,3,32,35,1
265,1,0,1,1,8.2,7.575,47,39.0007,3,52,55,1
266,1,0,1,1,9.02,9.85,44,23.9994,0,49,49,2
267,1,0,1,1,8.2,9.09,47,22.0028,0,44,44,2
268,1,0,1,1,8.2,8.335,47,27.9993,1,48,49,2
269,1,0,1,1,9.02,9.85,44,22.0028,5,63,68,2
270,1,0,1,1,8.2,9.09,47,23.9994,0,139,139,2
271,1,0,1,1,8.2,7.575,47,35.0008,2,135,137,2
272,1,0,1,1,7.38,7.575,47,27.9993,1,82,83,3
273,1,0,1,1,6.56,6.82,50,22.0028,2,54,56,3
274,1,0,1,1,6.56,6.82,55,22.0028,0,57,57,3
275,1,0,1,1,6.56,6.06,55,30.0026,1,32,33,3
276,1,0,1,1,5.74,5.305,59,27.9993,1,19,20,3
277,1,0,1,1,5.74,6.06,59,19.0012,1,6,7,0
278,1,0,1,1,5.74,6.06,50,19.0012,0,2,2,0
279,1,0,1,1,5.74,6.06,50,23.9994,0,2,2,0
280,1,0,1,1,5.74,6.06,50,22.0028,0,3,3,0
281,1,0,1,1,5.74,6.06,50,16.9979,0,4,4,0
282,1,0,1,1,5.74,6.06,50,19.9995,0,3,3,0
283,1,0,1,1,4.92,7.575,54,8.9981,0,28,28,1
284,1,0,1,1,4.92,7.575,54,8.9981,0,72,72,1
285,1,0,1,1,5.74,6.82,50,12.998,5,197,202,1
286,1,0,1,1,5.74,6.06,50,22.0028,2,137,139,1
287,1,0,1,2,6.56,6.82,50,23.9994,2,36,38,1
288,1,0,1,2,8.2,8.335,44,30.0026,4,33,37,1
289,1,0,1,1,8.2,8.335,44,27.9993,3,49,52,1
290,1,0,1,1,9.02,9.85,41,30.0026,2,81,83,2
291,1,0,1,1,9.02,9.85,41,26.0027,3,39,42,2
292,1,0,1,1,9.84,10.605,38,19.9995,5,55,60,2
293,1,0,1,1,9.84,10.605,38,23.9994,2,76,78,2
294,1,0,1,1,8.2,9.09,40,19.0012,4,158,162,2
295,1,0,1,1,8.2,9.09,40,22.0028,3,141,144,2
296,1,0,1,1,6.56,7.575,47,16.9979,1,98,99,3
297,1,0,1,1,6.56,7.575,47,15.0013,0,64,64,3
298,1,0,1,1,5.74,6.06,46,19.9995,0,40,40,3
299,1,0,1,1,5.74,6.06,46,22.0028,0,30,30,3
300,1,0,1,1,4.92,6.82,50,12.998,1,14,15,3
301,1,0,1,1,4.92,6.82,50,12.998,0,14,14,0
302,1,0,1,1,4.1,6.06,54,11.0014,0,5,5,0
303,1,0,1,1,4.1,6.06,54,8.9981,0,1,1,0
304,1,0,1,1,4.1,6.82,54,7.0015,0,1,1,0
305,1,0,1,1,4.1,6.82,54,6.0032,0,8,8,0
306,1,0,1,1,4.1,9.09,54,0.0,0,17,17,1
307,1,0,1,1,4.1,6.06,74,11.0014,0,70,70,1
308,1,0,1,1,4.92,8.335,68,0.0,2,156,158,1
309,1,0,1,1,5.74,7.575,69,8.9981,0,117,117,1
310,1,0,1,1,7.38,9.09,55,12.998,4,40,44,1
311,1,0,1,1,7.38,8.335,51,19.0012,6,47,53,1
312,1,0,1,1,8.2,9.85,44,16.9979,2,59,61,1
313,1,0,1,1,9.02,9.85,37,26.0027,4,73,77,2
314,1,0,1,1,9.02,10.605,41,19.0012,5,59,64,2
315,1,0,1,1,9.84,12.12,38,11.0014,9,59,68,2
316,1,0,1,1,9.02,12.12,41,7.0015,3,87,90,2
317,1,0,1,1,9.02,11.365,41,11.0014,4,155,159,2
318,1,0,1,1,8.2,12.88,47,0.0,5,134,139,2
319,1,0,1,1,6.56,9.85,59,6.0032,3,89,92,3
320,1,0,1,1,7.38,12.12,59,0.0,0,68,68,3
321,1,0,1,1,6.56,11.365,69,0.0,4,48,52,3
322,1,0,1,2,6.56,11.365,69,0.0,2,34,36,3
323,1,0,1,2,7.38,12.12,55,0.0,1,26,27,3
324,1,0,0,1,7.38,12.12,55,0.0,3,25,28,0
325,1,0,0,2,6.56,9.85,59,6.0032,2,18,20,0
326,1,0,0,2,6.56,9.85,59,6.0032,0,12,12,0
327,1,0,0,2,6.56,11.365,59,0.0,1,7,8,0
328,1,0,0,2,6.56,11.365,59,0.0,0,5,5,0
329,1,0,0,1,6.56,11.365,59,0.0,0,1,1,0
330,1,0,0,1,5.74,8.335,63,7.0015,1,2,3,1
331,1,0,0,1,5.74,10.605,63,0.0,1,9,10,1
332,1,0,0,1,5.74,7.575,63,8.9981,1,22,23,1
333,1,0,0,1,6.56,9.09,64,8.9981,2,31,33,1
334,1,0,0,1,7.38,9.85,59,11.0014,2,57,59,1
335,1,0,0,1,8.2,9.85,55,15.0013,18,54,72,1
336,1,0,0,1,9.84,11.365,48,15.0013,15,74,89,1
337,1,0,0,1,11.48,12.88,38,19.9995,21,80,101,2
338,1,0,0,1,12.3,14.395,39,19.0012,26,92,118,2
339,1,0,0,2,13.12,15.91,36,12.998,21,108,129,2
340,1,0,0,2,13.94,16.665,34,12.998,33,95,128,2
341,1,0,0,2,13.12,15.15,36,19.0012,29,54,83,2
342,1,0,0,2,12.3,14.395,45,16.9979,15,69,84,2
343,1,0,0,2,13.12,15.15,39,16.9979,14,60,74,3
344,1,0,0,2,13.12,15.15,39,16.9979,6,35,41,3
345,1,0,0,2,13.12,15.15,39,15.0013,6,51,57,3
346,1,0,0,2,12.3,15.91,42,7.0015,0,26,26,3
347,1,0,0,1,12.3,14.395,45,19.0012,5,39,44,3
348,1,0,0,1,10.66,15.15,56,0.0,6,33,39,0
349,1,0,0,1,10.66,13.635,56,8.9981,4,19,23,0
350,1,0,0,1,10.66,14.395,56,6.0032,3,13,16,0
351,1,0,0,1,9.02,13.635,69,0.0,9,6,15,0
352,1,0,0,1,10.66,12.88,56,11.0014,0,1,1,0
353,1,0,0,2,10.66,12.88,56,11.0014,1,1,2,0
354,1,0,0,2,10.66,12.88,56,11.0014,0,1,1,1
355,1,0,0,2,9.84,10.605,56,19.9995,0,3,3,1
356,1,0,0,1,9.02,10.605,55,19.0012,0,18,18,1
357,1,0,0,1,9.02,10.605,51,16.9979,3,29,32,1
358,1,0,0,1,9.02,10.605,51,19.0012,8,71,79,1
359,1,0,0,1,9.84,11.365,44,16.9979,23,70,93,1
360,1,0,0,1,9.84,10.605,41,19.0012,29,75,104,1
361,1,0,0,1,10.66,11.365,35,19.9995,23,95,118,2
362,1,0,0,1,11.48,13.635,36,16.9979,22,69,91,2
363,1,0,0,1,10.66,12.12,38,16.9979,35,78,113,2
364,1,0,0,1,9.84,11.365,38,15.0013,22,77,99,2
365,1,0,0,1,9.02,10.605,37,16.9979,23,82,105,2
366,1,0,0,1,8.2,10.605,40,11.0014,11,56,67,2
367,1,0,0,1,7.38,9.85,47,8.9981,14,47,61,3
368,1,0,0,1,7.38,9.85,47,11.0014,7,50,57,3
369,1,0,0,1,7.38,9.85,51,11.0014,6,22,28,3
370,1,0,0,2,8.2,10.605,49,8.9981,2,19,21,3
371,1,0,0,2,8.2,11.365,40,7.0015,0,18,18,3
372,1,1,0,2,8.2,9.85,47,15.0013,1,16,17,0
373,1,1,0,2,8.2,9.85,44,12.998,1,15,16,0
374,1,1,0,2,7.38,8.335,43,16.9979,0,8,8,0
375,1,1,0,2,7.38,9.09,43,12.998,0,2,2,0
376,1,1,0,2,7.38,9.85,43,8.9981,1,2,3,0
377,1,1,0,2,7.38,9.85,43,11.0014,0,1,1,0
378,1,1,0,2,7.38,9.09,43,12.998,0,5,5,1
379,1,1,0,2,6.56,9.09,50,8.9981,4,9,13,1
380,1,1,0,2,6.56,7.575,47,15.0013,3,30,33,1
381,1,1,0,2,6.56,7.575,47,15.0013,8,39,47,1
382,1,1,0,2,6.56,7.575,50,16.9979,7,50,57,1
383,1,1,0,2,6.56,7.575,55,12.998,9,55,64,1
384,1,1,0,2,7.38,9.85,47,8.9981,10,70,80,1
385,1,1,0,2,7.38,9.85,47,8.9981,13,80,93,2
386,1,1,0,2,7.38,10.605,43,7.0015,12,74,86,2
387,1,1,0,2,8.2,10.605,47,11.0014,21,72,93,2
388,1,1,0,2,8.2,10.605,47,11.0014,6,76,82,2
389,1,1,0,1,8.2,9.85,51,12.998,4,67,71,2
390,1,1,0,2,7.38,8.335,55,16.9979,7,85,92,2
391,1,1,0,3,7.38,9.09,59,12.998,2,58,60,3
392,1,1,0,3,6.56,7.575,80,12.998,4,29,33,3
393,1,1,0,3,6.56,7.575,80,12.998,3,24,27,3
394,1,1,0,3,5.74,6.06,93,16.9979,0,13,13,3
395,1,1,0,3,6.56,6.82,86,19.0012,1,3,4,3
396,1,0,1,2,8.2,9.09,86,22.0028,0,3,3,1
397,1,0,1,2,8.2,9.85,86,15.0013,0,22,22,2
398,1,0,1,2,9.02,11.365,80,11.0014,2,26,28,2
399,1,0,1,2,9.02,11.365,87,11.0014,3,32,35,2
400,1,0,1,2,9.02,11.365,87,12.998,0,61,61,2
401,1,0,1,2,9.02,11.365,82,12.998,1,124,125,2
402,1,0,1,2,9.02,11.365,80,11.0014,1,132,133,2
403,1,0,1,2,9.02,11.365,80,8.9981,1,98,99,3
404,1,0,1,2,9.02,13.635,87,0.0,0,83,83,3
405,1,0,1,2,9.02,12.12,93,7.0015,0,41,41,3
406,1,0,1,2,9.02,12.88,93,6.0032,0,33,33,3
407,1,0,1,2,9.02,13.635,93,0.0,1,19,20,3
408,1,0,1,2,9.02,13.635,93,0.0,0,3,3,0
409,1,0,1,3,9.02,11.365,93,8.9981,1,6,7,0
410,1,0,1,3,9.02,11.365,93,8.9981,0,3,3,0
411,1,0,1,3,9.02,11.365,93,8.9981,1,1,2,0
412,1,0,1,2,9.02,12.88,93,6.0032,0,7,7,0
413,1,0,1,2,9.02,12.88,93,6.0032,0,32,32,1
414,1,0,1,2,9.84,12.88,92,7.0015,1,89,90,1
415,1,0,1,2,9.84,12.88,93,7.0015,1,196,197,1
416,1,0,1,2,9.84,12.88,93,7.0015,2,107,109,1
417,1,0,1,2,10.66,13.635,93,8.9981,1,46,47,1
418,1,0,1,2,11.48,15.15,87,6.0032,5,47,52,1
419,1,0,1,2,12.3,15.91,81,6.0032,5,65,70,1
420,1,0,1,1,16.4,20.455,62,19.0012,11,67,78,2
421,1,0,1,1,16.4,20.455,58,16.9979,7,68,75,2
422,1,0,1,1,16.4,20.455,54,19.0012,4,78,82,2
423,1,0,1,1,15.58,19.695,58,26.0027,10,94,104,2
